stream,metric,method,bwt,memory_mb,p99_ms,near_rt,vs_ref,ci,d_z,p,holm,avg_perf,forgetting
cross-dataset,forgetting,finetune,,0.0,0.9,True,+0.0179,"[+0.0153, +0.0210]",4.96,0.0652,,,"0.0242 [0.0223, 0.0268]"
cross-dataset,forgetting,joint,,0.0,1.21,True,-0.0063,"[-0.0070, -0.0057]",-7.59,0.0652,,,"0.0000 [0.0000, 0.0000]"
cross-dataset,forgetting,lwf,,0.761,0.89,True,+0.0049,"[+0.0034, +0.0067]",2.4,0.0652,,,"0.0113 [0.0102, 0.0125]"
cross-dataset,forgetting,nestedric,,3.999,2.12,True,+0.0062,"[+0.0004, +0.0119]",0.8,0.1888,,,"0.0126 [0.0070, 0.0181]"
cross-dataset,forgetting,replay,,3.998,0.9,True,,,,,,,"0.0063 [0.0057, 0.0070]"
cross-dataset,forgetting,si,,3.043,0.9,True,+0.0003,"[-0.0018, +0.0024]",0.11,0.8748,,,"0.0067 [0.0050, 0.0083]"
cross-dataset,forgetting,titans,,4.0,0.9,True,+0.0165,"[+0.0147, +0.0199]",4.41,0.0652,,,"0.0229 [0.0212, 0.0258]"
cyclic,forgetting,agem,,3.998,0.9,True,-0.0066,"[-0.0079, -0.0052]",-3.75,0.0652,,,"0.0011 [0.0008, 0.0013]"
cyclic,forgetting,bilevel,,0.761,0.92,True,+0.0049,"[+0.0029, +0.0067]",1.98,0.0652,,,"0.0125 [0.0107, 0.0142]"
cyclic,forgetting,ewc,,1.522,0.9,True,-0.0000,"[-0.0016, +0.0018]",-0.01,1.0,,,"0.0076 [0.0058, 0.0093]"
cyclic,forgetting,finetune,,0.0,1.18,True,+0.0021,"[+0.0001, +0.0042]",0.79,0.1862,,,"0.0098 [0.0075, 0.0121]"
cyclic,forgetting,joint,,0.0,0.9,True,-0.0077,"[-0.0089, -0.0064]",-4.74,0.0652,,,"0.0000 [0.0000, 0.0000]"
cyclic,forgetting,lwf,,0.761,0.93,True,+0.0049,"[+0.0029, +0.0073]",1.75,0.0652,,,"0.0125 [0.0105, 0.0146]"
cyclic,forgetting,nestedric,,3.999,2.15,True,-0.0040,"[-0.0059, -0.0021]",-1.58,0.0652,,,"0.0037 [0.0027, 0.0050]"
cyclic,forgetting,replay,,3.998,0.92,True,,,,,,,"0.0077 [0.0064, 0.0089]"
cyclic,forgetting,si,,3.043,1.0,True,-0.0036,"[-0.0048, -0.0023]",-2.23,0.0652,,,"0.0041 [0.0033, 0.0049]"
cyclic,forgetting,titans,,4.0,1.09,True,+0.0021,"[+0.0004, +0.0041]",0.87,0.0652,,,"0.0097 [0.0084, 0.0108]"
radio-shift,forgetting,agem,,3.998,0.91,True,-0.0068,"[-0.0087, -0.0050]",-2.88,0.0652,,,"0.0017 [-0.0000, 0.0035]"
radio-shift,forgetting,bilevel,,0.761,0.92,True,-0.0047,"[-0.0068, -0.0026]",-1.76,0.0652,,,"0.0039 [0.0018, 0.0061]"
radio-shift,forgetting,ewc,,1.522,1.03,True,-0.0058,"[-0.0076, -0.0040]",-2.53,0.0652,,,"0.0027 [0.0010, 0.0045]"
radio-shift,forgetting,finetune,,0.0,0.92,True,-0.0061,"[-0.0079, -0.0038]",-2.31,0.0652,,,"0.0025 [0.0007, 0.0045]"
radio-shift,forgetting,joint,,0.0,0.93,True,-0.0086,"[-0.0097, -0.0076]",-6.23,0.0652,,,"0.0000 [0.0000, 0.0000]"
radio-shift,forgetting,lwf,,0.761,0.9,True,-0.0077,"[-0.0086, -0.0070]",-7.39,0.0652,,,"0.0009 [0.0004, 0.0013]"
radio-shift,forgetting,nestedric,,3.999,3.97,True,-0.0087,"[-0.0096, -0.0082]",-9.3,0.0652,,,"-0.0002 [-0.0008, 0.0004]"
radio-shift,forgetting,replay,,3.998,0.9,True,,,,,,,"0.0086 [0.0076, 0.0097]"
radio-shift,forgetting,si,,3.043,0.9,True,-0.0051,"[-0.0067, -0.0039]",-2.91,0.0652,,,"0.0034 [0.0016, 0.0057]"
radio-shift,forgetting,titans,,4.0,1.5,True,-0.0061,"[-0.0079, -0.0043]",-2.73,0.0652,,,"0.0025 [0.0009, 0.0041]"
sched-shift,forgetting,agem,,3.998,0.95,True,-0.0074,"[-0.0096, -0.0053]",-2.68,0.0652,,,"0.0001 [-0.0004, 0.0005]"
sched-shift,forgetting,bilevel,,0.761,0.91,True,-0.0068,"[-0.0084, -0.0048]",-3.05,0.0652,,,"0.0007 [-0.0002, 0.0015]"
sched-shift,forgetting,ewc,,1.522,1.17,True,-0.0072,"[-0.0090, -0.0051]",-2.91,0.0652,,,"0.0003 [-0.0002, 0.0008]"
sched-shift,forgetting,finetune,,0.0,0.93,True,-0.0071,"[-0.0090, -0.0050]",-2.75,0.0652,,,"0.0004 [0.0000, 0.0008]"
sched-shift,forgetting,joint,,0.0,0.89,True,-0.0075,"[-0.0094, -0.0056]",-3.12,0.0652,,,"0.0000 [0.0000, 0.0000]"
